district,layout,area_m2,base_rent,furnished,age_days
praha7,3+kk,88,39000.0,Ano,10
praha9,2+kk,49,20000.0,,10
praha6,4+1,150,69000.0,Ne,10
praha9,1+kk,35,21500.0,Ano,10
praha9,2+1,75,28000.0,Ano,10
praha4,2+kk,57,22000.0,Částečně,10
praha10,1+kk,31,17300.0,Ano,10
praha3,2+kk,55,32000.0,Částečně,10
praha10,2+kk,54,22000.0,,10
praha1,1+kk,31,17500.0,Částečně,10
praha6,3+kk,73,30000.0,Ano,10
praha10,3+kk,90,34000.0,Ano,10
praha5,2+kk,60,26000.0,Částečně,10
praha4,2+kk,56,25500.0,Částečně,10
praha6,2+kk,41,19500.0,,10
praha4,3+1,68,27900.0,Částečně,10
praha5,2+kk,53,32200.0,Ano,10
praha10,2+kk,108,35500.0,,10
praha3,1+kk,41,23000.0,Částečně,10
praha7,2+kk,53,24800.0,Částečně,10
praha5,1+kk,28,16500.0,Ano,10
praha2,3+1,68,36000.0,Ne,10
praha5,2+kk,52,19500.0,Částečně,10
praha8,3+kk,75,33000.0,Ano,10
praha5,2+kk,80,30000.0,Ano,10
praha10,3+kk,63,30000.0,Částečně,10
praha8,2+kk,63,32000.0,Ne,11
praha10,3+1,65,22000.0,Částečně,11
praha10,3+1,78,30000.0,Částečně,11
praha4,2+kk,54,29500.0,,11
praha4,2+kk,45,22500.0,Částečně,11
praha4,3+kk,76,24990.0,Ne,11
praha2,2+kk,45,26500.0,Ano,11
praha5,2+kk,46,25000.0,Ano,11
praha5,2+1,47,18000.0,Ne,11
praha5,1+kk,30,21000.0,,11
praha3,3+kk,97,44772.0,Ano,11
praha1,2+kk,72,40000.0,Ano,11
praha10,2+1,67,21500.0,Ne,11
praha8,3+kk,74,30000.0,Částečně,11
praha8,4+kk,138,69900.0,Částečně,11
praha5,3+kk,80,27000.0,Ne,11
praha9,3+kk,72,27800.0,,11
praha10,1+kk,28,14900.0,Ne,11
praha5,1+1,45,17510.0,Ano,11
praha10,2+kk,49,22500.0,Částečně,11
praha5,2+kk,50,22000.0,,11
praha3,3+kk,95,64674.0,Ne,11
